hostname,group
ESCCARCSAR1,RADAR
ESCCARCSAR2,RADAR
ESCCDR017,DRILL
ESCCDR023,DRILL
ESCCDR025,DRILL
ESCCDR028,DRILL
ESCCDR032,DRILL
ESCCDR034,DRILL
ESCCDR035,DRILL
ESCCDR036,DRILL
ESCCDR038,DRILL
ESCCDR039,DRILL
ESCCDZ441,DOZER
ESCCDZ733,DOZER
ESCCDZ737,DOZER
ESCCDZ751,DOZER
ESCCEA429,EQAUX
ESCCEA436,EQAUX
ESCCEA437,EQAUX
ESCCEA443,EQAUX
ESCCEA518,EQAUX
ESCCEA522,EQAUX
ESCCEA725,EQAUX
ESCCEA742,EQAUX
ESCCEA743,EQAUX
ESCCEA762,EQAUX
ESCCEA767,EQAUX
ESCCEA769,EQAUX
ESCCEA911,EQAUX
ESCCES-F07,EQAUX
ESCCES-F08,EQAUX
ESCCES-F13,EQAUX
ESCCES-N01,EQAUX
ESCCES-N02,EQAUX
ESCCES-N03,EQAUX
ESCCES-S01,EQAUX
ESCCES-S03,EQAUX
ESCCGR523,GRADER
ESCCIBIS4,RADAR
ESCCLD765,LOADER
ESCCSV065,SHOVEL
ESCCSV066,SHOVEL
ESCCSV069,SHOVEL
ESCCSV071,SHOVEL
ESCCSV072,SHOVEL
ESCCSV074,SHOVEL
ESCCSV075,SHOVEL
ESCCSV076,SHOVEL
ESCCSV078,SHOVEL
ESCCSV079,SHOVEL
ESCCSV081,SHOVEL
ESCCSV082,SHOVEL
ESCCSV092,SHOVEL
ESCCTK228,CAEX
ESCCTK230,CAEX
ESCCTK235,CAEX
ESCCTK237,CAEX
ESCCTK238,CAEX
ESCCTK239,CAEX
ESCCTK241,CAEX
ESCCTK243,CAEX
ESCCTK244,CAEX
ESCCTK245,CAEX
ESCCTK246,CAEX
ESCCTK247,CAEX
ESCCTK250,CAEX
ESCCTK251,CAEX
ESCCTK254,CAEX
ESCCTK255,CAEX
ESCCTK256,CAEX
ESCCTK259,CAEX
ESCCTK261,CAEX
ESCCTK262,CAEX
ESCCTK263,CAEX
ESCCTK266,CAEX
ESCCTK269,CAEX
ESCCTK270,CAEX
ESCCTK271,CAEX
ESCCTK272,CAEX
ESCCTK273,CAEX
ESCCTK291,CAEX
ESCCTK293,CAEX
ESCCTK294,CAEX
ESCCTK297,CAEX
ESCCTK298,CAEX
ESCCTK300,CAEX
ESCCTK310,CAEX
ESCCTK312,CAEX
ESCCTK315,CAEX
ESCCTK317,CAEX
ESCCTK318,CAEX
ESCCTK328,CAEX
ESCCTK331,CAEX
ESCCTK332,CAEX
ESCCTK334,CAEX
ESCCTK335,CAEX
ESCCTK336,CAEX
ESCCTK339,CAEX
ESCCTK341,CAEX
ESCCTK345,CAEX
ESCCTK348,CAEX
ESCCTK349,CAEX
ESCCTK354,CAEX
ESCCTK355,CAEX
ESCCTK357,CAEX
ESCCTK359,CAEX
ESCCTK360,CAEX
ESCCTK365,CAEX
ESCCTK366,CAEX
ESCCTK368,CAEX
ESCCTK369,CAEX
ESCCTK370,CAEX
ESCCTK372,CAEX
ESCCTK373,CAEX
ESCCTK375,CAEX
ESCCTK376,CAEX
ESCCTK378,CAEX
ESCCTK380,CAEX
ESCCTK382,CAEX
ESCCTK383,CAEX
ESCCTK384,CAEX
ESCCTK389,CAEX
ESCCTK390,CAEX
ESCCTK391,CAEX
ESCCTK393,CAEX
ESCCTK395,CAEX
ESCCTK396,CAEX
ESCCTK398,CAEX
ESCCTK399,CAEX
ESCCTK612,CAEX
ESCCTK613,CAEX
ESCCTK615,CAEX
ESCCTK616,CAEX
ESCCTK617,CAEX
ESCCTK621,CAEX
ESCCTK801,CAEX
ESCCTK804,CAEX
ESCCTK813,CAEX
ESCCTK814,CAEX
ESCCTK847,CAEX
ESCCTK848,CAEX
ESCCTK849,CAEX
ESCCTK851,CAEX
ESCCTK852,CAEX
ESCCTK854,CAEX
ESCCTK855,CAEX
ESCCTK856,CAEX
ESCCTK857,CAEX
ESCCTK858,CAEX
ESCCTK860,CAEX
ESCCTK861,CAEX
ESCCTK862,CAEX
ESCCTK864,CAEX
ESCCTK866,CAEX
ESCCTK867,CAEX
ESCCTK868,CAEX
ESCCTK869,CAEX
ESCCTK871,CAEX
ESCCTK873,CAEX
ESCCTK874,CAEX
ESCCTK875,CAEX
ESCCTK876,CAEX
ESCCTK877,CAEX
ESCCTK879,CAEX
ESCCTK880,CAEX
ESCCTK881,CAEX
ESCCTK882,CAEX
ESCCTK883,CAEX
ESCCTLT01,TERRALITE
ESCCTLT03,TERRALITE
ESCCTLT04,TERRALITE
ESCCTLT09,TERRALITE
ESCCTLT10,TERRALITE
NS180965651,UNKNOWN
NS181062456,UNKNOWN
NS181261008,UNKNOWN
