hostname,port_id,migrated_date
ESCCTK269,1/2/1,2020-08-07
ESCCTK269,1/2/3,2020-08-08
ESCCTK269,1/2/4,2020-08-07
ESCCTK250,1/2/1,2020-08-07
ESCCTK250,1/2/3,2020-08-07
ESCCTK250,1/2/4,2020-08-07
ESCCTK360,1/2/1,2020-08-08
ESCCTK360,1/2/3,2020-08-08
ESCCTK360,1/2/4,2020-08-08
ESCCTK355,1/2/1,2020-08-09
ESCCTK355,1/2/3,2020-08-09
ESCCTK355,1/2/4,2020-08-09
ESCCTK864,1/2/1,2020-08-09
ESCCTK864,1/2/3,2020-08-09
ESCCTK864,1/2/4,2020-08-09
ESCCTK300,1/2/1,2020-08-10
ESCCTK300,1/2/3,2020-08-10
ESCCTK300,1/2/4,2020-08-10
ESCCTK293,1/2/1,2020-08-10
ESCCTK293,1/2/3,2020-08-10
ESCCTK293,1/2/4,2020-08-10
ESCCTK383,1/2/1,2020-08-11
ESCCTK882,1/2/1,2020-08-11
ESCCTK882,1/2/3,2020-08-11
ESCCTK882,1/2/4,2020-08-11
ESCCTK237,1/2/1,2020-06-08
ESCCTK237,1/2/3,2020-06-08
ESCCTK237,1/2/4,2020-05-18
ESCCTK382,1/2/1,2020-06-08
ESCCTK382,1/2/3,2020-06-08
ESCCTK382,1/2/4,2020-05-19
ESCCIBIS4,1/2/2,2020-05-03
ESCCTK849,1/2/3,2020-08-12
ESCCTK849,1/2/4,2020-08-12
ESCCTK854,1/2/1,2020-08-13
ESCCTK854,1/2/3,2020-08-13
ESCCTK854,1/2/4,2020-08-13
ESCCTK861,1/2/1,2020-08-13
ESCCTK861,1/2/3,2020-08-13
ESCCTK861,1/2/4,2020-08-13
ESCCTK298,1/2/1,2020-08-14
ESCCTK298,1/2/3,2020-08-14
ESCCTK298,1/2/4,2020-08-14
ESCCTK395,1/2/1,2020-08-14
ESCCTK395,1/2/3,2020-08-14
ESCCTK395,1/2/4,2020-08-14
ESCCTK866,1/2/1,2020-08-14
ESCCTK866,1/2/3,2020-08-14
ESCCTK866,1/2/4,2020-08-14
ESCCTK875,1/2/1,2020-08-14
ESCCTK875,1/2/3,2020-08-14
ESCCTK875,1/2/4,2020-08-14
ESCCTK244,1/2/1,2020-08-15
ESCCTK244,1/2/4,2020-08-15
ESCCTK375,1/2/1,2020-08-15
ESCCTK375,1/2/3,2020-08-15
ESCCTK375,1/2/4,2020-08-15
ESCCTK835,1/2/1,2020-08-15
ESCCTK883,1/2/3,2020-08-15
ESCCTK883,1/2/4,2020-08-15
ESCCTK868,1/2/1,2020-08-16
ESCCTK868,1/2/3,2020-08-16
ESCCTK868,1/2/4,2020-08-16
ESCCTK871,1/2/1,2020-08-17
ESCCTK871,1/2/3,2020-08-17
ESCCTK871,1/2/4,2020-08-17
ESCCTK354,1/2/1,2020-08-17
ESCCTK354,1/2/3,2020-08-17
ESCCTK354,1/2/4,2020-08-17
ESCCTK256,1/2/1,2020-08-17
ESCCTK256,1/2/3,2020-08-17
ESCCTK256,1/2/4,2020-08-17
ESCCTK317,1/2/1,2020-08-18
ESCCTK317,1/2/3,2020-08-18
ESCCTK317,1/2/4,2020-08-18
ESCCTK263,1/2/1,2020-08-18
ESCCTK263,1/2/3,2020-08-18
ESCCTK263,1/2/4,2020-08-18
ESCCTK294,1/2/1,2020-08-18
ESCCTK294,1/2/3,2020-08-18
ESCCTK294,1/2/4,2020-08-18
ESCCTK376,1/2/1,2020-08-19
ESCCTK376,1/2/3,2020-08-19
ESCCTK312,1/2/1,2020-08-19
ESCCTK312,1/2/3,2020-08-19
ESCCTK312,1/2/4,2020-08-19
ESCCTK334,1/2/1,2020-08-20
ESCCTK334,1/2/3,2020-08-20
ESCCTK334,1/2/4,2020-08-20
ESCCTK858,1/2/1,2020-08-21
ESCCTK858,1/2/3,2020-08-21
ESCCTK858,1/2/4,2020-08-21
ESCCTK335,1/2/1,2020-08-21
ESCCTK335,1/2/3,2020-08-21
ESCCTK860,1/2/1,2020-08-22
ESCCTK860,1/2/3,2020-08-22
ESCCTK860,1/2/4,2020-08-22
ESCCTK230,1/2/1,2020-08-23
ESCCTK230,1/2/3,2020-08-23
ESCCTK230,1/2/4,2020-08-23
ESCCTK869,1/2/1,2020-08-23
ESCCTK869,1/2/3,2020-08-23
ESCCTK869,1/2/4,2020-08-23
ESCCTK391,1/2/3,2020-08-23
ESCCTK391,1/2/4,2020-08-23
ESCCTK348,1/2/1,2020-08-23
ESCCTK348,1/2/3,2020-08-23
ESCCTK348,1/2/4,2020-08-23
ESCCTK270,1/2/1,2020-08-24
ESCCTK270,1/2/3,2020-08-24
ESCCTK270,1/2/4,2020-08-24
ESCCTK877,1/2/1,2020-08-24
ESCCTK877,1/2/3,2020-08-24
ESCCTK877,1/2/4,2020-08-24
